ObjectID,AphiaID,RACEcode,FRAMcode,SWFSCcode,Kingdom,Phylum,Subphylum,Class,Subclass,Order,Family,Genus,Species,AUV_OTU,common_name,common_name_authority,AUV_nickname,morpho_type_descriptor,also_called_historically_3,12RB_button,Group1,Group2,Activation_date,Deactivation_date
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Alternatipathes,,,,,,,,,,,,
,,41541,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes,patula,,Feather black coral,,,,,Bathypathes spp.,,,,
,,41540,,841,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Bathypathes,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes,quadribrachiata,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes,wingi,,,,,,,,,,,
,,,,745,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Lillipathes,,,Lillie's Black coral,,,,,Lillipathes spp.,,,,
,,41550,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Parantipathes,,,,,,,,,,,,
,,,,746,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,Schizopathidae,Umbellapathes,,,,,,,,,,,,
,,41525,,744,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Antipatharia,,,,,Unidentified black coral,,Unknown black coral,,,Unknown black coral,,,,
,,44022,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Caryophyllia,arnoldi,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Caryophyllia,diomedeae,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Caryophyllia,quadragenaria,,,,,,,,,,,
,,44020,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Caryophyllia,,,,,,,,,,,,
,,,,,Animalia,Cnidaria,,Anthozoa,Hexacorallia,Scleractinia,Caryophilliidae,Coenocyathus,bowersi,,,,,,,,,,,
